point_id	point_name	type	x	y	z	block_id
1	00	RFID	9.29	17.53	0	1
2	00V	Orientation	9.06	17.79	0	1
3	01	RFID	15.84	10.9	0	1
4	01V	Orientation	15.42	11.55	0	1
5	02	RFID	24.63	8.88	0	2
6	02V	Orientation	24.31	8.82	0	2
